reviewContent,name,klasifikasi
saya sangat puas dengan barang nya kualitas barang sangat membantu hdd saya apabila jatuh dari atas dan pengiriman rapi gk ada lecet kasih bintang 5 dan saya sangat tidak puas dengan peng,Dimas D.,Positive
barang diterima dengan kondisi yang baik tapi packagingnya kurang,Pembeli,Positive
suka banget sama barangnya packing nya rapi pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini,KHAIRUNNISA.SYAN,Positive
flashdisk ori packing bagus saya suka thx,Antonio G.,Positive
aman cepat pula,Lazada Customer,Positive
bagus ori kok cuma hanya aja 58 gb klo 63 gpp hilang 1 gb,Lazada Customer,Positive
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,Ririn S.,Negative
baguss bangett kurir nya jga ramah cakep pula wkwk ini 64gb tp cmn 58 sekian gb tp gpp lah yah pokok nya recomended deh,Asrinur A.,Positive
produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi,ucen W.,Positive
barangnya bagus banget sesuai dengan gambar dn deskripsi pengiriman cepat bagus dn recomended bangt,ucen W.,Positive
packing tanpa bubble warp fisik no minus cuma 58 gb bukan 64 ya lumayan,Andre A.,Positive
barang ok packing rapii kurir nya ramahh puass,Hendrii R.,Positive
produk original mantap semoga awet,muchamad R.,Positive
baik sesuai ekspektasi,Budi,Positive
,Lazada Customer,Positive
barang nya oke makasih,Lazada Customer,Positive
tumben ninja cepat pengirimannya,Ahmad K.,Positive
barang asli dan original terimakasih maju terus toko jet store,ganirogy,Positive
flashdisk nya bagus sesuai picture barang cepat sampai kurir ramah,Fadhila U.,Positive
oke mudah2an awet dan ga crash belum sempet d coba,ferry P.,Positive
kapasitas cuma 58 gb ajaaaaa huft,wisnu D.,Positive
katanya 64 gb nyatanya cuman 58 gb,Lazada Customer,Positive
thks ya barang sdh sampai smga cocok,Irine S.,Positive
siippp thank lazada,Winarso Y.,Positive
udah di trima barang ok moga awet,Irman A.,Positive
josss tenan,Indra S.,Positive
ini ori bagus tahan lama masih saya pake,Recvy,Positive
kampret kaga kebaca,Sucipto B.,Negative
barang bagus quick respon hari ini pesan besok sudah sampai,Lazada Customer,Positive
brang cukup bagus,Tarmudi,Positive
sip mantap,Lazada Customer,Positive
bagus ori,Pupung A.,Positive
real good,Aobhie H.,Positive
bagus,Ketut W.,Positive
good,abdul M.,Positive
pengiriman sangat lama tgl 19 di pesan tgl 22 barang baru dikemas tgl 23 baru diambil ekspedisi tgl 25 baru sampai masih dijabotabek tapi lama,Lazada Customer,Negative
barang tanpa kemasan tanpa pelindung apapun hanya dus tv saja liat dusnya sobek dikit sudah mulai curiga kayaknya pecah ini eeeeellllaaaa pas dibuka pecah beneran bad seller bener bener bad seller mau untung aja tanpa peduli keadaan produk kalo gak ada untung n pelit pakingan ya jgn jualan barang sudah retur mudah mudahan barangnya cepat di kirim lg d,hadiyanto,Negative
barang diterima pada hari akhir yg dijadwalkan yaitu malam hari kondisi barang terlindungi dengan packing bawaan unit kualitas unit adalah kualitas sharp semoga awet bila unit ini dikirim dari gudang lazada di bogor mestinya bisa lebih cpt tiba bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di bogor,Fajar H.,Positive
masukan saja klo bisa packingnya jangan asal dikasih buble wrap minimal ini cuma dipacking pakai plastik biasa sempet khawatir pecah tpi untung gk terjadi,aryanto,Positive
pesanan sesuai dgn yg di gambar skrg sy lg coba smoga awet,Abdul A.,Positive
pengiriman tidak sesuai tanggal yang tertera,Edi S.,Negative
sesuai no tipu2,Lazada Customer,Positive
barang ok packing rapih,Pohin,Positive
barangnya sampai dengan cepat bagus terimakasih lazada,Nilam R.,Positive
pengiriman cepat packirng rapih harga murah free ongkir,Pohin,Positive
mantapp barang nya sesuai pesanan,ming F.,Positive
jangan pernah beli disini parah banget barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll,kiky p.,Negative
hati hati ini tv ga bisa pake usb,Muhammad A.,Negative
puas,Lukas P.,Positive
mantap,ming F.,Positive
sangat puas dengan produknya terimakasih,Lazada Guest,Neutral
memuaskan produk sesuai deskripsi packing bagus dan penerimaan produk cepat untuk saya yg berada di jkt,Fitriyansyah,Positive
kenapa chargernya tidak lengkap g bisa langsung dipakai buat charger kita harus nyari dan beli lagi sambungan buat chargernya tolong d bantu,Sahrul A.,Neutral
ini spek ram nya 2gb atau 4gb,Dani,Negative
gan saya sarankan untuk lebih berhati hati dalam membeli flashdisk yang dikirim ke saya adalah flashdisk rekondisi daur ulang bekas jangan tertipu oleh harga mas dosa mas bohong di flashdisknya ada tulisan nama aryo yang sengaja dihapus tp kurang bersih file yang dikirim ke flashdisk juga error makan duit haram mas kenyang tp ga berkah,Rayndra A.,Negative
barang cepat sampainya kualitas fd kurang bagus file yang di copy sering corrupt,Satya P.,Negative
palsu,Hendri,Negative
very good,DHEA P.,Positive
korup terus klo di copy ke fd mengecewakan,Tjan H.,Negative
hardisknya keren pelindungnya kokoh udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada,Pieter C.,Positive
sampainya agak lama tapi puas packing rapi dan pas dateng warnanya biru seneng banget gan hehe top deh semoga awet barangnya,zara,Positive
trims lazada reseller barang sdh saya terima senin siang penigiriman sesuai dengan yg di informasikan,Maesaroh,Positive
sesuai spek yg saya mau jd oke lah,Uli,Positive
barangnya bagus rapi tidak mengecewakan akan tetapi bagus kalau ada bonus pouch nya hehhe,bahari,Positive
barang udah sampe gunn masih segell dari pabriknya mangstabb,Temon,Positive
barang tlah diterima kondisi baik,Yaya S.,Positive
barang sesuai deskripsi penjual ramah respon cepat,Nicho P.,Positive
packaging rapi flashdiksnya ori kapasitasnya sesuai dengan detail produk yang dicantumkan dan foto dengan barangnya sesuai barangnya datang sesuai tepat waktu makasih ya,Muhammad R.,Positive
flashdisknya sudah diterima dengan baik kapasitas total 58 544 586 752 bytes dengan fat32 menjadi 62 885 724 160 bytes kalau diformat dengan exfat write speed 10mb s dan read 30 mb s dengan port usb 2 0 belum dicoba dengan port usb 3 0,Johann S.,Positive
terima kasih barang bagus dan respon penjual sgt baik,Dian A.,Positive
barang sudah diterima dgn baik packing rapih tp isinya cuma 58gb selebihnya oke,Elisa P.,Positive
pas cocok buat anda semua bgus sesuai deskripsi,Michael O.,Positive
puas,Novi A.,Positive
flashdisk 64gb casing metal baguss,Yanti,Positive
sesuai deskripsi,rizki E.,Positive
barang dah sampai makasih,fauzi A.,Positive
mantap barang gak minus sama sekali,Lazada Customer,Positive
pengiriman cepat packing cukup bagus,Febian M.,Positive
biarkan bintang yang berbicara,Dirawan,Positive
barangnya ok cepat sampai,Erwin J.,Positive
pengirimannya cepat produk baik,Lazada Customer,Positive
barang sesuai dengan deskripsi dan berfungsi baik,Chandra K.,Positive
sampai cepat barang sesuai,Lazada Customer,Positive
dikirim hari berikutnya dan barang mulus,dwi S.,Positive
oke,herry P.,Positive
baik,Lazada Customer,Positive
ram 8gb atau 4gb,Alwan P.,Negative
tv led dengan pilihan input yang lengkap hdmi dv vga kami beli untuk keperluan kantor yang penggunaannya bisa multi source panasonic satu satunya merk yang menyediakan fasilitas ini sepanjang pengetahuan kami kualitas gambar juga bagus dengan bezel tipis yang memberikan kesan lega extra bracket memudahkan pemasangan di dinding bravo panasonic,Kurniawan,Positive
cuma butuh waktu 12 jam unit tiba thks,hanif s.,Positive
mau cicilan gmn caranya6,Rosana U.,Negative
nyicil dengan cara mudah prosesnya susah nggak,Lazada Guest,Neutral
pokonya puas,Lazada Guest,Positive
puas bgt pengiriman sesuai jadwal barang bagus packing rapih buat maen game enak bgt hihii murah lagi tenkyu lazada,Muhammad R.,Positive
saya igin pesan tapi packingnya kalo bisa harus rapih dan aman jadi barang terlindungi untuk saat ini bintang 3 nanti kalo barangnya udah diterima dan bagis jadi 5 bintang,Gani R.,Neutral
saya kurang yakin produk ini genuine karena hologramnya pun tidak ada dan kartu garansinya pun tidak ada hanya keterangan saja di dusnya bahwa barang ini original resmi indonesia bergaransi dengan diberi nomor telpon service centernya memory yang tersedia ternyata juga tidak sampai 2 tb tetapi 1 81 tb selisih 0 19 tb besar banget selisihnya tidak mungkin juga terpakai untuk sistemnya sampai begitu banyak tapi tidak begitu masalah eksternal hardisk ini bekerja bagus cepat dan hadiah hardcase cukup bagus untuk melindungi barang ini dari debu dan benturan sayangnya saat di registrasi ke official webnya wd ternyata identification numbernya tidak dikenal tidak valid alias barang ini bukan asli alias kw seller responsif sayangnya tidak memberitahu asli tidaknya barang ini pengiriman terhitung cepat dalam 2 hari barang sudah di tangan mudah2an saja barang ini awet wslaupun tdk original,Lazada Customer,Neutral
barang bagus peking rapih gua rekomendasikan banget lah klo barangnya cma sayang pengiriman lama kaya ampas jne dioper sana sini barang gua ga ga muncul2 harus di komplen dlu cs ny kali baru ngerti mending buat pengiriman lain deh lbi bgus,Lazada Customer,Neutral
mantab speed konsisten total size asli 1 81gb pas sejauh ini masih normal digunakan nice job seller n lazada,Dovicky A.,Positive
barang belum terima pihak lazada bilang sidah diterima cek di jne lhoksukon aceh utara barang tidak ada ada masalah petigasnya tdk ramah dan tdk ada solusk mana yg benar email ke cs jne sama cs lazada tdk ada reapon bagaimana nasih barang saya harga 1 jt an,Ruli W.,Negative
smuanya mntap,Keong I.,Positive
pengiriman cepat hr ini kirin lusa udh terima packing rapi pake bubble jg kwalitas product oke tq,Yuli S.,Positive
saya rekomendasikan beli disini,denys T.,Positive
sudah sampaiii,Rusli C.,Positive
warna sesuai pesanan spek persis ok dah,Lazada Customer,Positive
thanks respon cepat hdd ext 2tb sampai sesuai pesanan,faesal K.,Positive
original packing rapi,Rahmat M.,Positive
barang good condition and delivery ok,tetty N.,Positive
barang oke,Albert A.,Positive
foto produk sesuai dengan asli warna birunya bagus saya pesan dan bayar produk ini pada tanggal 21 oktober 2018 dan produk ini datang pada tanggal 23 oktober 2018 dalam kondisi baik dan berfungsi untuk macbook pro saya meskipun saya harus format dahulu saya mendapat bonus poket untuk external hdd saya ini mudah mudahan produk ini awet terima kasih lazada,Vian B.,Positive
packing rapi dan pengiriman tepat waktu sejauh ini berfungsi dengan baik harapannya semoga awet ni barang,Lazada Customer,Positive
barangnya bagus kecil compaq dan packing baik,Deni A.,Positive
good product with reasonable price,Thomas D.,Positive
packing rapi kualitas oke fitur2 persis seperti deskripsi desain keren cuma yg kurang puas di segi kecepatan transfer hanya mentok di 9 10 mb s,Indra P.,Positive
gmn nih lazada saya liat iklannya flashdisk tapi yg dikirim koq malah flashdrive mohon penjelasannya barang sdh saya buka saya br x ini kecewa,jhonay,Negative
smua yang di ulasan bener smua apa mreka kata kapasitas terbaca 29 5gb karena terpakai sistem pengiriman lebih cepat dari extimasi,Eko p.,Positive
barang sdh diterima pengirimannya cepat data yg terbaca 29 1gb iya karena space 32gb tdk terbaca 32gb full terima kasih atas fast responnya n barangnya ori,Nyoman A.,Positive
pengiriman cepet tapi tranfer failnya lemot,Dede R.,Positive
flashdisknya bagus tapi jatoh sama teman akhirnya rusak untuk mengeluarkan nya,Abdul R.,Positive
cepet sampai barang asli bagus lah thanks lazada,Lazada Customer,Positive
barang cepat cuma 2 hari garansi resmi mantabb,Adriyansyah,Positive
cepet sampai 1 hari udah sampai barang bagus gk cepet panas walau di pake lama pokoknya mantab,Hofur S.,Positive
bagus packing rapi modelnya aku suka thanks lazada,Isnaini,Positive
barang bagus pertahankan,Rio S.,Positive
barangnya sudah saya terima kondisi sangat baik trimakasih lazada,SAFAR,Positive
produk oke dan original by datascrip tapi sayang kapasitas bersihnya 29gb,Ega D.,Positive
pengiriman cepet barang bagus transfer data lebih cepat daripada tipe cruzer switch,Meilinda H.,Positive
produk mantap sesuai deskripsi,Sayyuda F.,Positive
good,Ficky,Positive
produk sesuai pengiriman cepat,Lazada Customer,Positive
produk bagus,David A.,Positive
barang sangat bagus trimakasih,Lazada Customer,Positive
barang yg dikirim tidak seperti yang di gambar,Dwi D.,Negative
barang yg sampe cruzer yg biasa tidak sesuai di gambar tapi size nya 64gb,Muhammad A.,Positive
cukup bagus,Tarmudi,Positive
knpa prosesnya lama apa gagal atau sya harus pesan lagi,Lazada Guest,Negative
barang saya ko gaada ya padahal saya ngasih alamatnya bener dan saya cek di situs jnenya alamat tujuannya kok salah mohon diperiksa kembali saya beli barang bebarengan dengan yang lain yg lainnya udh sampai tapi beli di sini gaada barangnya sampai sekarang,wahid y.,Negative
kecewa alias barang aspal ya lumayan buat isi mp3 sih banyak lagunya,Lazada Customer,Neutral
flashdisk 64gb tpi isi cm 2gb gk bs dipakai,Dian k.,Negative
tidak bisa berfungsi menyimpan data,Achmad M.,Negative
barang tidak pernah sampai yg hitam yg putih ga bisa dipake,Giacinta,Negative
pengiriman lama warna yang dateng putih bukan hitam,Aysa,Negative
krn pesanan tdk sesuai dengan kirimannya dr warna saja saya pesan hitam dikirm putih dan tidak bisa dipakai di labtop anak saya seharusnya tidah seperti itu yah,Mengulas s.,Negative
flashdisk saat dicopy file yg kebaca setengah doang ud mana beli 2 saya tertipu pantes g garansi hati hati untuk yg mau beli,ridwan,Negative
ketika barang datang masih di luar kota 2 minggubkemudian baru cek barang dari awal muncul pertanyaan karena di pembungkusnya sendiri tulisannya toshiba kapasitas 8 gb sedangkan di flashdisk memang tertulis 64 gb setelah dicoba untuk kopi file ternyata banyak yang failed dan yang berhasil dikopi ternyata juga tidak dapat dibuka sepertinya ini hanyalah produk gagal buatan oem yang dibuat asal asalan untuk dijual murah dan pihak toko terlanjur membeli dalam jumlah banyak kemudian berusaha menjual dengan segala cara,surya a.,Negative
rusak gk bisa dipakai kapok,dhini m.,Negative
ga bisa dipakai,Adha S.,Negative
barangnya lama sekali,Fernando,Negative
produk jauh dari yang diharapkan sangat kecewa,Helmy A.,Negative
kok dapet nya warna biru,Lazada Customer,Negative
barang diterima cepat seller n lazada pelayanan bagus kemasan rapi kasih plastik tebal lagi good tvnya cakep sesuai gambar n speknya display cukuplah sesuai sempat ada baut casing lepas dikencangkan ternyata bisa recomended buat yang nyari,aryadi,Positive
ini tv jg bs jadi monitor pc kan,Amira R.,Positive
boleh kredit bang,Lazada Guest,Positive
1 hari order besok langsung sampai fast respon fast seller,Liana,Positive
biar bintang yang berbicara,Liana,Positive
bagus barangnya,Kusnadi,Positive
mantab reseller nya pengiriman cepat dan pakingan ok thank s reseller dan lazada sukses selalu buat reseller dan lazada,Kusnadi,Positive
packing dan barangnya ok namun bonus pouch ukurannya terlalu kecil untuk tempat hardisk nya,Lazada Customer,Positive
pengiriman cepat kualitas gambar bagus terutama kualitas suaranya oke dvb t2 berfungsi baik cuma remote ada yg error tombol source tidak fungsi jd kalau mau ganti ke usb hdmi atau lainnya mesti pencet tombol fisik di tvnya sudah minta ganti ke seller malah disuruh contact aquanya kata aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya ribet deh dipingpong,Wisnu V.,Negative
ini layar sentuh bukan yah,Desy N.,Neutral
saya pesan uang sdah d transfer tapi barng tdk sampai,juliyana,Negative
bagi yang minat order pesan barang kami silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,Haji A.,Positive
hi sist gan stocknya masih ready informasi produk kami silahkan chat add whatsapp 0852 5468 9727 respon cepat aman terpercaya pengiriman via jne tiki seller resmi lazada terima kasih,lazada.co.id,Positive
untuk info buat pelanggan setia kami di karenakan lazada slow respon cepat aman dan terpercaya kami buka orderan pemesanan beli 1 garatis 1 melalui via whatsapp wa 085250720044,Kalina,Positive
bagi yang minat order pesan barang kami untuk lebih memastikan silahkan add whatsapp wa 085200343400 langsung dari reseller toko terimah kasih,Haji A.,Positive
klu cicilan gmn cranya yah,Lazada Guest,Negative
saya dari sumba timur waingapu,Lazada Guest,Positive
cara kredit nya bagaimana,Lazada Guest,Positive
bisa di cicil gak,Lazada Guest,Neutral
laptop nya bagus,Lazada Guest,Positive
tidak bisa di kurangi ya biar jadi 1 000000,Lazada Guest,Negative
ini berapa inci ya layarnya,Ad,Neutral
ini bayar di tempat apa tidak,Lazada Guest,Negative
bayar ditempat,Lazada Guest,Neutral
caranya gmn ya,Lazada Guest,Negative
rizi,Lazada Guest,Positive
ditulis khusus jabodetabek tp tersedia diwilyah lampung dibeli tp dicancel krn diluar daerah klo gk bisa harusnya dtulis tdk tersedia diwil anda,joko b.,Negative
gmana caranya klw mau ikut kredit di lazada,Nursih H.,Neutral
bisa kiri ke kota blitar tidak,Yulia,Negative
klw di kirim k karawang bisa gak,Lazada Guest,Negative
gambarnya tidak keliatan,Fitra R.,Negative
terimakasih barang nya memuaskan semoga awet juga,Lazada Customer,Positive
mantuulll,Santi D.,Positive
makasih gan tapi produk nya saya mesen yang 16gb dateng nya mlh yang 32gb mungkin slh masukin produk,Viqri H.,Positive
alhamdulillah puas wlau pengirimannya hmpr mlm tpi semuanya ok,Lazada Customer,Positive
barangnya bagus suara dan gambar jernih mudah mudahan awet pengepakanya rapi datang tepat waktu kurirnya juga ramah makasih lazadd,Mujari,Positive
barang cukup memuaskan seller responsif packing aman karena dari kayu yah tpi pengirimannya agak sedikit lama tpi its ok yang penting barang sudah sampai,Salman A.,Positive
packing rapih dan aman banget barangnya pengiriman cepat hari ini order besok langsung dateng pokonya seller recommended dari segi harga juga bersaing d,Herdy S.,Positive
tv nya sudah datang alhamdulillah amin,Herman N.,Negative
produknya sesuai dgn gambar puas bgt,Martha P.,Positive
tv a bagus bngt layar a jga jernih bngt,maudi S.,Positive
puas sama produknya bagus n berkualitas,Myda S.,Positive
good job,siti K.,Positive
bgs,Ryan N.,Positive
siip,Sur M.,Positive
aku puas banget sama layanan di lazada pengirimannya cepat barangnya juga gak lecet sedikit pun terimakasih lazada,Chaeira P.,Positive
min ram nya emang segitu,Lazada Guest,Positive
barang asli dan sesuai,Lazada Customer,Positive
wd my passport 4tb harga paling murah dibanding tempat lain sudah cek online dan offline barang bagus sudah di cek total kapasitas 3 64tb original bisa di register ke web wd nya untuk garansi 3 thn diberi beberapa software utility free diantaranya wd security untuk protect hd agar tdk bisa dibuka orang lain dan ada bonus pouch lumayan buat tempat hd nya,Robby,Positive
order mi notebook air gold 12 5 inch sampai sesuai harapan barangnya asli packagingnya aman bagus sellernya informatif cepat dikirimnya dan sudah ready terinstall dengan windows 10 english version terima kasih banyak seller,Saki,Positive
pengiriman barang ternyata sangat cepat hari ke 2 barang sudah diterima dalam keadaan baik packing rapih dan setelah dicek laptop bekerja sesuai harapan terima kasih atas layanannya yang sangat baik,Sonny G.,Positive
pengirimannya benar benar top packingnya rapi dan aman barangnya oke windowsnya udah pakai win 10 english version top deh,Lazada Guest,Positive
lebih keren dari perkiraan awal windows 10 sudah dikonfersi ke bahasa inggris mantab,Candra H.,Positive
gan kok gak dapat di kirm ke nad disitu tertulis barang ini tidak dapat di kirim ke lokasi anda,Lazada Guest,Positive
mbak mas kabari ya barang kalau udah ready stok saya rencana mau order mkasih,IVO S.,Positive
pelayanannya baik,Miranda G.,Positive
pengiriman cepat barang di terima dengan baik dan lengkap langsung coba dapat bonus usb led dll recommended seller,Setyo W.,Positive
barang bagus awet sampai sekarang,Fardyan C.,Positive
pemasangan anti virus oleh pihak wd secara online dibantu memasang juga mantap lazadaterpercaya,U S.,Positive
pengiriman cpt smp produk bagus sesuai gambar trims,Lia N.,Neutral
saya kira antivirusnya ada kasetnya eh ternyata cuma dikasih nomor serial disuruh download sendiri overall bagus lah pengiriman cepat cuma 1 hari datang,Aditya F.,Positive
hrg bersaing bagus,Yamani S.,Positive
bagus koq cm gak pake antivirusnya aja ribet sih d,Inge,Positive
ntaps,Luki M.,Positive
barang sudah diterima dan pengiriman lumayan cepat tapi ada 2 hal yg harus penjual perhatikan 1 di etalase tv dijual dengan bonus free braket tapi yang datang cuma tv nya doang braketnya ga ada 2 ongkir tercantum rp 200 000 saya kirim sesuai yg tercantum tp pas di cek di resi yang tercantum oleh ekspedisi cobra ternyara cuma 75 000 tetep konsumen yang dirugikan toko ini jadi catatan buat saya kecuali menylesaikannya,Nurkamal,Negative
tv nya udh seminggu blm sampai juga sepertinya harus meningkatkan pengiriman nya lebih diperhatikan supaya sampai sesuai estimasi thanks,Lazada Guest,Neutral
ini bisa nonton dengar music liat poto via usb gk,Lazada Guest,Positive
sesuai pesanan bagus thanks gan,qorny,Positive
produk dgn pesanan no 3288859132 sudah diterima,Nicky S.,Positive
ok sesuai sm deksripsi,Lazada Customer,Positive
alhamdulillah barang sampai dengan aman karna peking yang bagus semoga barang awet selalu amanah dan lancar rejekinya amiin,Windi W.,Positive
sesuai dengan pesanan semoga awet ya,Lazada Customer,Positive
kualitas ori kapasitas sesuao dengan dekripsinya,Indra W.,Positive
barang bagus dengan harga ok,Najmy U.,Positive
barang bagus dan berfungsi,Muhamad A.,Positive
virus shortcut,Lazada Customer,Negative
packing ok barang sesuai deskripsi,Herman K.,Positive
barangnya tiba dengan selamat cepat tapi kemasan otg nya nggak memuaskan,Lazada Customer,Neutral
siiplah pokonya thanks lazada,Lazada Customer,Positive
mudah2 n awet barang nya ada hologram nya,Atin S.,Positive
suka bgt barangx mulus lus lus and berfungsi dgan baik thanks lazada,Bahri S.,Positive
barang sampe sesuai pada waktu nya packingan rapi terima kasih lazada,Junaedi A.,Positive
mudah2n awet amin,ayi M.,Positive
warna tidak sesuai,Lazada Customer,Positive
eliminasi 2 hari packing rapi tapi warna gak sesuai yang di ingini tapi barang normal work,Moch.Mughni,Positive
product oke sesuai destkripsi dapet tas backpack jga recomend seller good dah pkknya,Utamy A.,Positive
laptop nya dikirim sangat top modal kaciwa,bambang P.,Positive
sesuai dengan keinginan dan kebutuhan,Lazada Customer,Positive
paket sudah saya terima terlambat sedikit pengirimannya tapi tidak apa apa thanks lazada,Ahmad S.,Positive
respon cepat dan pengiriman cepat via go send,Deniel,Positive
flashdisk baru waktu pas beli lagi diskon packagingnya jga rapih so far so good,Mia,Positive
barang cepet sampe thanks,Ikbal,Positive
brg sesuai cuma delivery agak lama,Tommy,Positive
ok deh mantep,Nur R.,Positive
flashdisk sandisk ok banget ada bonus lagi terima kasih,Lazada Guest,Positive
barangnya bagus untuk harga semurah ini,john,Positive
gan saya pesan warna biru kok yang datang warna merah,Tita M.,Negative
8 hari baru sampai sistemnya kosong root saja tampil jadi hrs install ulang packingan rapi dan tersegel,Muhammad M.,Neutral
barang yg di kirim tidak sesuai dengan yang di tampilkan,I n.,Negative
barang sudah sampe untuk pengriman ke kupang ntt waktunya termasuk cepat packing safe dan rapi barang sesuai gambar dan spek yang ditawarkan tx lazada kenkez,Sonny S.,Positive
tengkyuu barangnya nyampe tepat waktu packing rapi dan savety banget recommended seller,Fitria W.,Positive
terlambat satu hari karena kurir sampai dikantor pada malam hari jd besoknya baru bisa saya terima tp barang saya terima dengan baik terima kasih,Mon R.,Positive
barang sesuai pemesanan pengiriman cepat jakarta,nat T.,Positive
harddisk berjalan dengan baik kelengkapan juga oke,Andi A.,Positive
2bulan pake crashed pdhl ga prnah jatoh,Lazada Customer,Negative
jum at pesan besoknya nyampai barang bagus tdk ada cacatnya terima kasih lazada,harry d.,Positive
maaf baru sempat review secara umum cukup puas dengan layanan penjual packing bagus rapih dan aman fisik barang sesuai gambar dan ulasan yang ada di website hanya saya mis informasi aja karena ternyata hd external wd ini gak dapat sarungnya overall saya rekomendasi sellernya thanks dan tingkatkan selalu pelayanannya sukses,Ricky P.,Positive
mantapppp,Lazada Customer,Positive
bagus sesuai pesanan,Izharrudin,Positive
flashdisk nya lucu sesuai dengan gambar pokoknya suka,Hanifah -.,Positive
cukup memuaskan,Willem,Negative
sip,Ahmad A.,Positive
diresponnya cepat 2 hari datang usb nya gak mengecewakan sama kayak yang digambar,Sachi S.,Positive
barang diantar dengan cepat dan sesuai dengan penjelasan yang ada penjual merespondengan cepat,Eka F.,Positive
wkt baca2 di keterangannya ini bkn ori alias kw tp coba krn review yg lain jg ok tp memang ok bgt bs dipakai dgn baik bole yg mau beli,Lazada Customer,Positive
barang nya sesuai dan mulus di bungkus rapi,Panji S.,Neutral
