reviewContent,name,rating
maap bru ksi ulasan barang yampe dengan slamt dan aman tpi belum di coba krna belum sempet moga awet dan dan bagus,Lazada Customer,5.0
barang sesuai pesanan pengiriman tepat waktu paking rapih puas banget,Lazada Customer,5.0
ok,Verly T.,5.0
item arrived in perfect condition and still working well until today fast delivery and great customer service communication thanks,Alethia H.,3.0
ini cuman my passport biasa bukan my passport ultra tulis deskripsi yang bener ya,Syintia D.,1.0
awet,Yunita G.,5.0
untuk semua hardisk kah gan,Obby A.,5.0
product ok sesuai dengan foto pengiriman lebih cepat dari estimasi ok,Achmad T.,5.0
barang sesuai gambar dan bagus,ANANG P.,5.0
tidak sesuai gambar,Andi U.,1.0
3 kali cicilan maksudnya 3 bln ya persyaratan untuk kredit apa aja ya,Lazada Guest,1.0
kualitas barangny bisa di jamin g ya,Lazada Guest,2.0
klu saya mau beli tv di lazada di jamin g ya kualitasnya,Lazada Guest,3.0
gmna,Lazada Guest,3.0
barang sampai dengan baik packingnya bagus isi kotaknya lengkap ada casing hdd kabel male to male obeng kecil baut sama wadah luar alhamdulillaah bisa digunakan dengan baik semoga awet terima kasih,Rima A.,5.0
pengiriman cepat packing rapi dan aman barang sesuai deskripsi mulai dati pemasangan sampai pemakaian tak ada kendala bekerja dengan normal,Ari S.,5.0
packing rapih semoga awet thanks lazada,Arysto A.,5.0
packingnya rapi barangnya bagus dan murah tq,Willyam C.,5.0
lumayan lah untuk harga segini sayang ngebaca hdd 700gb lemot euy,reza a.,3.0
cukup puas barang trima ksih lazada,Ukat S.,5.0
bagus,Andi S.,5.0
lumayan,Monkz-666,3.0
barang bekerja dengan baik harga murah tapi pengiriman agak lama sukses terus lazada,Fanto B.,5.0
cepat sampai original sudah di test dan sekarang jd tandem ssd intel saya terima kasih,Sondya L.,5.0
pengiriman cepat barang bagus,ZURYANA,4.0
recomended thx,Adi L.,5.0
sesuai tapi powerbanknya ringan sekali sesuai harga sih,Rayqa,4.0
barang dipacking kuat dan rapih cepat sampai sesuai estimasi trimakasih kotakom,cica O.,5.0
barang di pesan tanggal13 juli tgl14 barang sudah di kirim tanggal 26 barang sampai memang sedikit lama tapi saya maklum kok karena barang nya dari luar negri packing rapi barang berfungsi dengan baik,panji f.,5.0
good dan bisa di pake,Ajman N.,5.0
udah hampir 2 minggu barang belum jg nyampe order tgl 27 april 2017 status pesanan masi aja dlm proses gmana ni lazada,ferry s.,1.0
barangnya udah sampai thanks lazada,khaerun s.,5.0
mohon bantuan nya kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang mohon diperhatikan terima kasih,Riyan H.,1.0
barang datang cepat mulus semoga tidak ada masalah kedepannya,Adam R.,5.0
hanya bisa menyimpan sedikit file padahal kapasitas 16 gb sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali,Meriyah,3.0
tidak bisa menyimpan data,ibnu l.,1.0
ga kecewa deh barang keren kemasan rapih makasih bos,Edo R.,5.0
barang oke,Muhammad S.,5.0
karna tidak bisa nyimpan film dan data,Lazada Guest,1.0
bagus produknya,jamal F.,5.0
pesanan saya yg ini belum saya terima kenapa dibuat sudah saya terima tolong dong ini dicek lagi,Yen Z.,5.0
barangnya bagus,Mulyadi H.,5.0
blom keterima,Dedeh D.,5.0
produk nya mantap,Achiranto L.,5.0
so far so good,Lazada Customer,5.0
barang ok kiriman tepat waktu,Ni P.,4.0
sesuai,Miny B.,5.0
barang bagus tapi sayang pengiriman dari pihak j t barangnya kesasar ke kota pamekasan padahal sudah tercantum kota sampang utk j t lebih hati hati lagi ya untung tidak hilang barangnya utk seller top fast response,Helmi A.,5.0
barang nyampai dgn mulus tdk ada cacat,moch A.,5.0
thanks lazada barang nya sesuai expektasi,fahmi A.,5.0
barang good pengiriman cepat kurir mantap ramah makasih lazada,kang W.,5.0
barang berfungsi normal semoga awet,andriyanto,5.0
barang sesuai deskripsi dan orderan,Mumtaz A.,5.0
falshdisk bagus berfungsi dengan baik,Mohamad Z.,5.0
barang sesuai pesanan mantab,GIGIH H.,5.0
thx lazada semoga fdnya awet,Mokhammad R.,5.0
pengiriman cepat smoga awet,Yunanto A.,5.0
pengiriman cepat brgnya mantap,KURNIAWAN,5.0
sampai dgn selamat dan aman,Mhd A.,5.0
saya belum terima barangnya,Lazada Customer,5.0
brg ok sampai cepat,Trio T.,5.0
mantap,Adolf A.,5.0
sip,RuudJR R.,5.0
pengiriman on time cuman packing sederhana sekali tanpa bubble wrap,Hendrik,4.0
kurir baik n bertanggungjawab barang sesuai spesifikasi semoga awet ya,Agus,5.0
barang cepat sampai sesuai pesanan,Lazada Customer,5.0
barang ok kemasan rapih,Mamahnya D.,5.0
mantap sesuai pesanan nih mah pokok nya joss,Lazada Customer,5.0
bagus dan sangat sesuai dengan kebutuhan,Denny V.,5.0
lumayan dengan harga segitu packing rapih pengiriman cepat semoga tidak ada kendala,Teguh M.,4.0
mudah mudahan bisa beli laptop mahals kalo bisa beli asus rog aja wkwk,Lazada Guest,5.0
pengen beli budget ga cukup,Anonymous,5.0
yah lumayan lah tapi saya ketemu ram 16gb ddr4 pake rx460 i7 6700hq malah 9 jutaan,Lazada Guest,4.0
tunggu gua jual lepi lama gua ama ngutang tetangga sebelah nanti gua beli,Lazada Guest,5.0
apa produk aslinya sesuai dgn yg di gambar ini,Lazada Guest,4.0
dikantong cuma ada 15rb,Lazada Guest,5.0
,.,2.0
